runway_trough_mo,current_runway_mo,dscr,debt_to_revenue,operating_margin,revenue_cv,predictability_cv,trend_pct,expense_rev_corr,months_negative,seasonality_strength,log_avg_revenue,has_receivables,dso_days,default_prob_true,default
3.217214,6.48356,12.0,0.0,0.124156,0.037908,0.029951,3.353593,1.0,0.0,0.909555,11.187373,0.0,0.0,0.0336,0
2.583787,6.819466,12.0,0.0,0.155208,0.314698,0.066035,-9.314655,1.0,0.0,0.996497,10.902507,0.0,0.0,0.0648,0
1.989284,5.658618,2.693083,0.085762,0.230963,0.582634,0.035321,5.380051,1.0,0.0,0.999965,10.502248,0.0,0.0,0.0268,0
2.944104,2.944104,0.938478,0.15898,0.149199,0.114102,0.070858,-18.818888,1.0,0.0,0.537483,10.758435,0.0,0.0,0.1179,0
2.863282,5.126979,12.0,0.0,0.090751,0.306196,0.039465,-16.381932,1.0,0.0,0.99931,10.506868,0.0,0.0,0.1021,0
3.356881,9.063668,12.0,0.0,0.217151,0.610055,0.025742,2.659018,1.0,0.0,0.999967,10.911519,0.0,0.0,0.023,0
2.920821,18.106142,12.0,0.024402,0.401182,0.73955,0.021185,18.932951,1.0,0.0,0.993673,12.119693,0.0,0.0,0.022,0
6.187445,16.623137,8.250559,0.045775,0.377672,0.622461,0.046205,-15.914567,1.0,0.0,0.999138,11.106598,0.0,0.0,0.1082,0
1.925074,2.321347,0.704666,0.103231,0.072743,0.173454,0.020939,30.431296,1.0,0.0,0.964349,10.939605,0.0,0.0,0.6423,1
1.960582,21.522479,12.0,0.0,0.451314,0.94228,0.857688,3.718227,1.0,0.0,0.883297,11.865471,0.0,0.0,0.3215,0
1.574123,12.854759,12.0,0.0,0.328502,0.618683,0.717379,44.002838,1.0,0.0,0.96197,11.869798,0.0,0.0,0.2679,1
0.474662,3.260503,2.145206,0.097765,0.209726,0.606365,0.038229,15.925964,1.0,0.0,0.998665,9.89198,0.0,0.0,0.1839,1
2.18861,6.941393,2.443469,0.116885,0.285604,0.098381,0.02901,13.766284,1.0,0.0,0.933307,12.221963,0.0,0.0,0.0229,0
4.141057,7.791704,12.0,0.0,0.133193,1.094784,0.079412,7.757819,1.0,0.0,0.999691,10.174284,0.0,0.0,0.0261,0
0.796254,9.628154,12.0,0.0,0.277369,0.310932,0.040362,-8.963816,1.0,0.0,0.999303,10.874749,0.0,0.0,0.6174,0
