Date,Description,Amount
2024-07-01,Storefront rent,-6000.00
2024-07-01,Payroll - staff,-14000.00
2024-07-03,Ingredient suppliers,-19451.19
2024-07-05,Square POS deposit,32418.65
2024-07-08,Utilities & misc,-2593.49
2024-07-10,SBA equipment loan payment,-2000.00
2024-07-15,Payroll - staff,-6000.00
2024-07-20,Square POS deposit,32418.65
2024-08-01,Storefront rent,-6000.00
2024-08-01,Payroll - staff,-14000.00
2024-08-03,Ingredient suppliers,-18240.10
2024-08-05,Square POS deposit,30400.17
2024-08-08,Utilities & misc,-2432.01
2024-08-10,SBA equipment loan payment,-2000.00
2024-08-15,Payroll - staff,-6000.00
2024-08-20,Square POS deposit,30400.17
2024-09-01,Storefront rent,-6000.00
2024-09-01,Payroll - staff,-14000.00
2024-09-03,Ingredient suppliers,-18271.68
2024-09-05,Square POS deposit,30452.80
2024-09-08,Utilities & misc,-2436.22
2024-09-10,SBA equipment loan payment,-2000.00
2024-09-15,Payroll - staff,-6000.00
2024-09-20,Square POS deposit,30452.80
2024-10-01,Storefront rent,-6000.00
2024-10-01,Payroll - staff,-14000.00
2024-10-03,Ingredient suppliers,-18091.90
2024-10-05,Square POS deposit,30153.17
2024-10-08,Utilities & misc,-2412.25
2024-10-10,SBA equipment loan payment,-2000.00
2024-10-15,Payroll - staff,-6000.00
2024-10-20,Square POS deposit,30153.17
2024-11-01,Storefront rent,-6000.00
2024-11-01,Payroll - staff,-14000.00
2024-11-03,Ingredient suppliers,-22580.73
2024-11-05,Square POS deposit,37634.56
2024-11-08,Utilities & misc,-3010.76
2024-11-10,SBA equipment loan payment,-2000.00
2024-11-15,Payroll - staff,-6000.00
2024-11-20,Square POS deposit,37634.56
2024-12-01,Storefront rent,-6000.00
2024-12-01,Payroll - staff,-14000.00
2024-12-03,Ingredient suppliers,-25749.45
2024-12-05,Square POS deposit,42915.75
2024-12-08,Utilities & misc,-3433.26
2024-12-10,SBA equipment loan payment,-2000.00
2024-12-15,Payroll - staff,-6000.00
2024-12-20,Square POS deposit,42915.75
2025-01-01,Storefront rent,-6000.00
2025-01-01,Payroll - staff,-14000.00
2025-01-03,Ingredient suppliers,-14623.74
2025-01-05,Square POS deposit,24372.90
2025-01-08,Utilities & misc,-1949.83
2025-01-10,SBA equipment loan payment,-2000.00
2025-01-15,Payroll - staff,-6000.00
2025-01-20,Square POS deposit,24372.90
2025-02-01,Storefront rent,-6000.00
2025-02-01,Payroll - staff,-14000.00
2025-02-03,Ingredient suppliers,-15311.38
2025-02-05,Square POS deposit,25518.96
2025-02-08,Utilities & misc,-2041.52
2025-02-10,SBA equipment loan payment,-2000.00
2025-02-15,Payroll - staff,-6000.00
2025-02-20,Square POS deposit,25518.96
2025-03-01,Storefront rent,-6000.00
2025-03-01,Payroll - staff,-14000.00
2025-03-03,Ingredient suppliers,-16309.12
2025-03-05,Square POS deposit,27181.86
2025-03-08,Utilities & misc,-2174.55
2025-03-10,SBA equipment loan payment,-2000.00
2025-03-15,Payroll - staff,-6000.00
2025-03-20,Square POS deposit,27181.86
2025-04-01,Storefront rent,-6000.00
2025-04-01,Payroll - staff,-14000.00
2025-04-03,Ingredient suppliers,-17880.56
2025-04-05,Square POS deposit,29800.94
2025-04-08,Utilities & misc,-2384.07
2025-04-10,SBA equipment loan payment,-2000.00
2025-04-15,Payroll - staff,-6000.00
2025-04-20,Square POS deposit,29800.94
2025-05-01,Storefront rent,-6000.00
2025-05-01,Payroll - staff,-14000.00
2025-05-03,Ingredient suppliers,-18087.03
2025-05-05,Square POS deposit,30145.04
2025-05-08,Utilities & misc,-2411.60
2025-05-10,SBA equipment loan payment,-2000.00
2025-05-15,Payroll - staff,-6000.00
2025-05-20,Square POS deposit,30145.04
2025-06-01,Storefront rent,-6000.00
2025-06-01,Payroll - staff,-14000.00
2025-06-03,Ingredient suppliers,-18989.61
2025-06-05,Square POS deposit,31649.35
2025-06-08,Utilities & misc,-2531.95
2025-06-10,SBA equipment loan payment,-2000.00
2025-06-15,Payroll - staff,-6000.00
2025-06-20,Square POS deposit,31649.35
2025-07-01,Storefront rent,-6000.00
2025-07-01,Payroll - staff,-14000.00
2025-07-03,Ingredient suppliers,-19650.55
2025-07-05,Square POS deposit,32750.91
2025-07-08,Utilities & misc,-2620.07
2025-07-10,SBA equipment loan payment,-2000.00
2025-07-15,Payroll - staff,-6000.00
2025-07-20,Square POS deposit,32750.91
2025-08-01,Storefront rent,-6000.00
2025-08-01,Payroll - staff,-14000.00
2025-08-03,Ingredient suppliers,-19517.75
2025-08-05,Square POS deposit,32529.58
2025-08-08,Utilities & misc,-2602.37
2025-08-10,SBA equipment loan payment,-2000.00
2025-08-15,Payroll - staff,-6000.00
2025-08-20,Square POS deposit,32529.58
2025-09-01,Storefront rent,-6000.00
2025-09-01,Payroll - staff,-14000.00
2025-09-03,Ingredient suppliers,-17322.84
2025-09-05,Square POS deposit,28871.41
2025-09-08,Utilities & misc,-2309.71
2025-09-10,SBA equipment loan payment,-2000.00
2025-09-15,Payroll - staff,-6000.00
2025-09-20,Square POS deposit,28871.41
2025-10-01,Storefront rent,-6000.00
2025-10-01,Payroll - staff,-14000.00
2025-10-03,Ingredient suppliers,-18376.92
2025-10-05,Square POS deposit,30628.20
2025-10-08,Utilities & misc,-2450.26
2025-10-10,SBA equipment loan payment,-2000.00
2025-10-15,Payroll - staff,-6000.00
2025-10-20,Square POS deposit,30628.20
2025-11-01,Storefront rent,-6000.00
2025-11-01,Payroll - staff,-14000.00
2025-11-03,Ingredient suppliers,-22786.72
2025-11-05,Square POS deposit,37977.87
2025-11-08,Utilities & misc,-3038.23
2025-11-10,SBA equipment loan payment,-2000.00
2025-11-15,Payroll - staff,-6000.00
2025-11-20,Square POS deposit,37977.87
2025-12-01,Storefront rent,-6000.00
2025-12-01,Payroll - staff,-14000.00
2025-12-03,Ingredient suppliers,-27268.52
2025-12-05,Square POS deposit,45447.53
2025-12-08,Utilities & misc,-3635.80
2025-12-10,SBA equipment loan payment,-2000.00
2025-12-15,Payroll - staff,-6000.00
2025-12-20,Square POS deposit,45447.53
2026-01-01,Storefront rent,-6000.00
2026-01-01,Payroll - staff,-14000.00
2026-01-03,Ingredient suppliers,-15417.97
2026-01-05,Square POS deposit,25696.61
2026-01-08,Utilities & misc,-2055.73
2026-01-10,SBA equipment loan payment,-2000.00
2026-01-15,Payroll - staff,-6000.00
2026-01-20,Square POS deposit,25696.61
2026-02-01,Storefront rent,-6000.00
2026-02-01,Payroll - staff,-14000.00
2026-02-03,Ingredient suppliers,-15141.92
2026-02-05,Square POS deposit,25236.54
2026-02-08,Utilities & misc,-2018.92
2026-02-10,SBA equipment loan payment,-2000.00
2026-02-15,Payroll - staff,-6000.00
2026-02-20,Square POS deposit,25236.54
2026-03-01,Storefront rent,-6000.00
2026-03-01,Payroll - staff,-14000.00
2026-03-03,Ingredient suppliers,-17914.40
2026-03-05,Square POS deposit,29857.33
2026-03-08,Utilities & misc,-2388.59
2026-03-10,SBA equipment loan payment,-2000.00
2026-03-15,Payroll - staff,-6000.00
2026-03-20,Square POS deposit,29857.33
2026-04-01,Storefront rent,-6000.00
2026-04-01,Payroll - staff,-14000.00
2026-04-03,Ingredient suppliers,-17183.85
2026-04-05,Square POS deposit,28639.75
2026-04-08,Utilities & misc,-2291.18
2026-04-10,SBA equipment loan payment,-2000.00
2026-04-15,Payroll - staff,-6000.00
2026-04-20,Square POS deposit,28639.75
2026-05-01,Storefront rent,-6000.00
2026-05-01,Payroll - staff,-14000.00
2026-05-03,Ingredient suppliers,-19577.51
2026-05-05,Square POS deposit,32629.18
2026-05-08,Utilities & misc,-2610.33
2026-05-10,SBA equipment loan payment,-2000.00
2026-05-15,Payroll - staff,-6000.00
2026-05-20,Square POS deposit,32629.18
2026-06-01,Storefront rent,-6000.00
2026-06-01,Payroll - staff,-14000.00
2026-06-03,Ingredient suppliers,-19383.43
2026-06-05,Square POS deposit,32305.71
2026-06-08,Utilities & misc,-2584.46
2026-06-10,SBA equipment loan payment,-2000.00
2026-06-15,Payroll - staff,-6000.00
2026-06-20,Square POS deposit,32305.71
